step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
10000,0,10000,1.23529411765,0.0676857097872,0.01,732.143983126
20000,0,20000,1.34986225895,0.102728474763,0.01,1370.43438005
30000,0,30000,1.40640394089,0.112305860063,0.01,2026.23150897
40000,0,40000,1.46188340807,0.116632555218,0.01,2656.11926913
50000,1,50000,1.51540041068,0.119273053012,0.01,3332.76027513
60000,1,60000,2.02631578947,0.139197141094,0.01,4106.87504005
70000,1,70000,1.80769230769,0.134452602543,0.01,4818.38562512
80000,1,80000,1.80672268908,0.139497423313,0.01,5526.49084711
90000,1,90000,1.6265060241,0.139807246478,0.01,6243.54487896
100000,2,100000,1.59259259259,0.142970561276,0.01,6892.376055
110000,2,110000,2.04444444444,0.179443418828,0.01,7496.72899199
120000,2,120000,1.83505154639,0.175873380141,0.01,8061.92341113
130000,2,130000,1.90972222222,0.182402708782,0.01,8634.38060904
140000,2,140000,1.95767195767,0.185473051274,0.01,9204.78181505
150000,3,150000,2.0,0.188331675875,0.01,9774.77391195
160000,3,160000,2.17777777778,0.195884663659,0.01,10379.1395111
170000,3,170000,2.38636363636,0.204419222415,0.01,10947.4542391
180000,3,180000,2.42962962963,0.206867873226,0.01,11519.0095241
190000,3,190000,2.43406593407,0.208485264421,0.01,12084.3435411
200000,4,200000,2.57918552036,0.220969688747,0.01,12654.677211
210000,4,210000,2.41860465116,0.253208877729,0.01,13259.944211
220000,4,220000,2.55952380952,0.253469474917,0.01,13832.5313811
230000,4,230000,2.60483870968,0.25289550304,0.01,14405.2899051
240000,4,240000,2.68674698795,0.256131175329,0.01,14975.1981661
250000,5,250000,2.8275862069,0.260443727848,0.01,15539.684062
260000,5,260000,3.31578947368,0.282665514635,0.01,16145.2576861
270000,5,270000,3.70666666667,0.293123654229,0.01,16713.3621671
280000,5,280000,4.26168224299,0.303166737328,0.01,17278.3201201
290000,5,290000,4.48571428571,0.307597564705,0.01,37466.8322282
300000,6,300000,4.9880239521,0.310381633723,0.01,38053.8255382
310000,6,310000,8.375,0.346745778059,0.01,38656.916784
320000,6,320000,7.05555555556,0.348248368695,0.01,39223.878083
330000,6,330000,5.98901098901,0.34656116923,0.01,39791.58162
340000,6,340000,6.05785123967,0.348950135398,0.01,40362.2814522
350000,7,350000,6.26174496644,0.351710301784,0.01,40934.1552351
360000,7,360000,8.5652173913,0.378461111373,0.01,41540.8447611
370000,7,370000,8.76086956522,0.381348093339,0.01,42108.7715001
380000,7,380000,9.27941176471,0.384107362359,0.01,42675.9187131
390000,7,390000,9.50549450549,0.388972446564,0.01,43246.4355202
400000,8,400000,9.96363636364,0.395134811761,0.01,43817.9208901
410000,8,410000,11.85,0.415997047702,0.01,44417.017899
420000,8,420000,11.8,0.41489047556,0.01,44987.2207592
430000,8,430000,12.2068965517,0.418049196275,0.01,45557.0268011
440000,8,440000,12.8933333333,0.418732474202,0.01,46115.56232
450000,9,450000,13.0107526882,0.419413576576,0.01,46688.0021191
460000,9,460000,17.1875,0.429154339141,0.01,47292.4111681
470000,9,470000,16.21875,0.432840868852,0.01,47860.7920592
480000,9,480000,16.0204081633,0.432474793136,0.01,48428.2020421
490000,9,490000,16.578125,0.435068615885,0.01,48997.537317
500000,10,500000,17.0759493671,0.434986405523,0.01,49567.7839231
510000,10,510000,16.1333333333,0.438039867758,0.01,50164.234915
520000,10,520000,15.5161290323,0.442551433327,0.01,50734.426806
530000,10,530000,15.2291666667,0.440077226453,0.01,51303.165808
540000,10,540000,16.3650793651,0.440779456319,0.01,51870.30375
550000,11,550000,16.3717948718,0.442633737013,0.01,52440.0199652
560000,11,560000,15.125,0.454480438555,0.01,53046.8245401
570000,11,570000,16.8709677419,0.459421312939,0.01,53615.0561881
580000,11,580000,17.8863636364,0.45173088561,0.01,54186.4314051
590000,11,590000,17.9661016949,0.449958373289,0.01,54759.218293
600000,12,600000,18.3150684932,0.452452593486,0.01,55330.017468
610000,12,610000,17.5,0.472168555145,0.01,55935.572974
620000,12,620000,19.3793103448,0.472954421083,0.01,56510.014961
630000,12,630000,19.8333333333,0.474219934818,0.01,57081.0393071
640000,12,640000,20.9272727273,0.475480799738,0.01,57646.666559
650000,13,650000,20.6811594203,0.475996105659,0.01,58217.6278942
660000,13,660000,22.9230769231,0.478025469846,0.01,58820.337254
670000,13,670000,23.68,0.480468869217,0.01,59389.870101
680000,13,680000,22.2820512821,0.478087943436,0.01,59958.670337
690000,13,690000,22.8461538462,0.479702069986,0.01,60526.274039
700000,14,700000,23.7619047619,0.480620027712,0.01,61089.0309131
710000,14,710000,21.6153846154,0.47480404956,0.01,61698.4938881
720000,14,720000,24.375,0.477666150964,0.01,62264.9598341
730000,14,730000,25.5675675676,0.480250375283,0.01,62831.8257701
740000,14,740000,25.22,0.482209674875,0.01,63405.6544611
750000,15,750000,25.737704918,0.482762733277,0.01,63973.7892802
760000,15,760000,24.9166666667,0.481673799773,0.01,64579.496453
770000,15,770000,24.28,0.487278660012,0.01,65147.253546
780000,15,780000,24.5945945946,0.488437523837,0.01,65720.2461181
790000,15,790000,24.32,0.489123599209,0.01,66294.9592621
800000,16,800000,24.9508196721,0.489710419565,0.01,66866.904906
810000,16,810000,23.1666666667,0.491471528477,0.01,67472.4465361
820000,16,820000,22.8,0.480610080888,0.01,68043.30829
830000,16,830000,24.1578947368,0.486073934636,0.01,68615.6327441
840000,16,840000,24.06,0.476562107928,0.01,69189.6832771
850000,17,850000,23.421875,0.479815412091,0.01,69759.840759
860000,17,860000,24.9166666667,0.490257890206,0.01,70364.5985641
